Title,Summary,Date
Domestic aluminum wire exports have declined for two consecutive months MoM. Will overseas demand for aluminum wire show a trend of moving downwards after a higher opening this year? [SMM Analysis],"According to customs data, in June 2024, aluminum wire and cable exports were 12,800 mt, marking a decline for two consecutive months, down 23% MoM and 31% YoY.",2024-07-24 07:28:00
Yamaha Motor to introduce hydrogen-powered aluminium melting technology at new facility,"Yamaha Motor is set to establish a groundbreaking verification testing facility at its Morimachi Factory in Japan, featuring advanced melting and heat treatment furnaces powered by hydrogen gas.",2024-07-24 07:08:00
BLT-AlAM500: The cutting-edge aluminium alloy designed for aerospace 3D printing,"Bright Laser Technologies (BLT) recently unveiled two advanced additive manufacturing materials, including a high-strength aluminium alloy designed specifically for aerospace 3D printing applications.",2024-07-24 07:05:00
SMM Aluminum Market Morning Comment (July 24),"The most-traded SHFE aluminum 2409 contract opened at 19,340 yuan/mt overnight, reaching a high of 19,410 yuan/mt and a low of 19,310 yuan/mt, and closed at 19,350 yuan/mt, up 60 yuan/mt, a decrease of 0.31%.",2024-07-24 06:58:00
"Aluminium plate/sheet, strip and foil production and sales declined due to weak demand [SMM Analysis]","According to an SMM survey, as the traditional off-season deepens, the order volume for aluminium plate/sheet, strip and foil producers continues to decline, and the industry's operating rate is gradually decreasing.",2024-07-23 08:56:00
Aluminum prices are declining. Whether this can effectively lead to destocking? [SMM Analysis],"On July 22, 2024, SMM reported that the total social inventory of aluminum ingots was 792,000 mt, (the amount for sale stood at 666,000 mt), down 5,000 mt from last Thursday but still 247,000 mt higher YoY.",2024-07-23 08:45:00
SMM Morning Comment For SHFE Base Metals On July 23,"Overnight, LME copper opened and peaked at $9,269/mt, hitting a low of $9,172/mt during the session, and closed at $9,230/mt, down 0.58%.",2024-07-23 07:27:00
Tiwai Point Aluminium Smelter to cut power usage by 185 megawatts to combat electricity supply constraint,"The Tiwai Point Aluminium Smelter, owned by Rio Tinto and the Sumitomo Group, has decided to reduce its power consumption by 185 megawatts, which is about 4 per cent of the country's energy usage.",2024-07-23 07:16:00
"RX China hosts record-breaking - Aluminium China 2024, focusing on green smart-aluminium and international cooperation","The 19th Aluminium China, Asia's leading aluminium industry trade show and B2B platform for sourcing, branding, networking, and technical exchange, successfully concluded its 2024 expo on July 5 at the Shanghai New International Expo Centre (SNIEC).",2024-07-23 07:14:00
SMM Aluminum Market Morning Comment (July 23),"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,360 yuan/mt, reaching a high of 19,400 yuan/mt and a low of 19,300 yuan/mt, and closed at 19,360 yuan/mt, down 90 yuan/mt, a decrease of 0.46%.",2024-07-23 07:04:00
"In June 2024, the domestic export volume of primary aluminium was approximately 7,000 mt, up 2.7% MoM, down 78.8% YoY","According to customs data, the export volume of domestic primary aluminium in June 2024 was approximately 7,000 mt, up 2.7% MoM, but down 78.8% YoY.",2024-07-22 15:05:00
Monthly Imports of Bauxite in China in June 2024 (Including Country Rankings),"According to the General Administration of Customs of China, in June 2024, China imported 13.3348 million mt of bauxite, down 1.58% MoM and up 15.42% YoY.",2024-07-22 14:59:00
"From January to June, the cumulative export of aluminium extrusion was up 11.61% YoY, mainly due to the price spread between domestic and overseas markets and restocking sentiment [SMM Analysis]","According to customs data, in June 2024, the export volume of domestic aluminium extrusion (HS codes 76041010, 76041090, 76042100, 76042910, 76042990) was 97,500 mt, up 6.47% MoM and up 9.14% YoY.",2024-07-22 14:46:00
"China's alumina exports surged in June MoM, and imports are expected to remain low in July [SMM Analysis]","According to Chinese customs, in June 2024, China exported 157,100 mt of alumina, with a cumulative export of 810,700 mt from January to June 2024.",2024-07-22 14:32:00
"Aluminium rod processing fees increased by 100-150 yuan/mt, and downstream sentiment showed a significant improvement [SMM Analysis]","On July 19, 2024, the average ex-factory processing fee for 1A60 ordinary aluminium rods in Shandong was 450 yuan/mt, up 50 yuan/mt from a week ago.",2024-07-22 14:01:00
Emission-free solar and electric-powered boats to replace diesel vessels in Chilika Lagoon,"Chilika Lagoon, Asia’s largest brackish water lake, is set to introduce emission-free solar and electric-powered boats, replacing traditional diesel-powered vessels.",2024-07-22 13:45:00
Planning Institute of Jamaica reports major growth in bauxite production,"The Planning Institute of Jamaica's 2023 Economic and Social Survey reveals that the local bauxite sector almost doubled its output last year, significantly contributing to an 86.8 per cent growth in the mining and quarrying industry compared to 2022.",2024-07-22 13:43:00
SMM Morning Comment For SHFE Base Metals On July 22,"Last Friday night, LME copper opened at $9,350.5/mt. After a brief initial fluctuation, it rose to a high of $9,374/mt, then fluctuated downward, touching a low of $9,283/mt at the end of the trading session, and finally closed at $9,290/mt, down 0.86%.",2024-07-22 07:13:00
SMM Aluminum Market Morning Comment (July 22),"Last Friday night, the most-traded SHFE aluminum 2409 contract opened at 19,555 yuan/mt, with a high of 19,600 yuan/mt, a low of 19,515 yuan/mt, and closed at 19,515 yuan/mt, down 100 yuan/mt, a decrease of 0.51%.",2024-07-22 07:04:00
"The inventory of aluminum billets has changed, processing fees in three locations are almost the same","Due to the further decline in prices, last week's aluminum billet pick-up from warehouses rebounded slightly, increasing by 4,200 mt WoW to 42,400 mt.",2024-07-19 15:30:00
"Aluminum: Social inventory of aluminum ingots increased to a new high in H2, further suppressing spot and futures prices","On July 18, 2024, the SMM survey reported a total social inventory of aluminum ingots at 797,000 mt, (the amount for sale stood at 671,000 mt), up 8,000 mt from July 11 and up 10,000 mt from July 15.",2024-07-19 15:29:00
"As domestic aluminum prices fell from highs in June, the supply of domestic aluminum billets showed differences between the north and south","As domestic aluminum prices fell from highs in June, the domestic aluminum billet industry has some relief.",2024-07-19 15:28:00
Aluminum prices to fall due to cautious macro environment and poor demand,"This week, macro front was significantly impacted by the US Fed's interest rate cut expectations.",2024-07-19 15:26:00
Critical minerals deal: U.S. approaches Indonesia for environmental collaboration,The United States has initiated discussions with Indonesia about joining a multinational partnership to improve Southeast Asia's environmental standards.,2024-07-19 15:25:00
Indonesian government in talks to ease the severity of bauxite export ban,"According to Fastmarkets report, the Indonesian government is planning to ease the bauxite export ban due to slower-than-expected progress in developing domestic alumina refineries.",2024-07-19 14:36:00
SMM Morning Comment For SHFE Base Metals On July 19,"Overnight, LME copper opened at $9,540/mt, initially hitting a high of $9,541/mt before declining throughout the session. After a brief rebound, it continued to fluctuate downward, hitting a session low of $9,370.5/mt at the end of the trading session and finally closed at $9,371/mt, down 2.55%. Trading volume reached 38,000 lots, and open interest reached 310,000 lots. ",2024-07-19 07:15:00
SMM Aluminum Market Morning Comment (Jul 19),"The most-traded SHFE 2409 aluminum contract opened at 19,630 yuan/mt overnight, reaching a high of 19,680 yuan/mt and a low of 19,555 yuan/mt, and closed at 19,575 yuan/mt, down 130 yuan/mt, a decrease of 0.66%.",2024-07-19 06:59:00
"The conversion margin for aluminium rods in June showed a rebound from the previous weakness, but the downward trend in aluminium rod production continued.","According to the survey statistics of the SMM analysis team on sample data from aluminium rod producers nationwide, as of July 2024, China's aluminium rod industry had an existing capacity of 7.488 million mt, with the overall operating capacity showing a stable trend.",2024-07-18 15:04:00
"Aluminium prices dropped sharply again, while conversion margins of aluminum billets in east China increased.","Today, the SMM A00 spot aluminium price dropped by 190 yuan/mt compared to the previous working day, reporting at 19,570 yuan/mt.",2024-07-18 13:44:00
Metro Mining to highlight successes and plans at the Noosa investment meet,"During this week's Noosa Mining Investment Conference in Queensland, the Australian mining and exploration company Metro Mining will showcase the ongoing acceleration of operations at its Bauxite Hills Mine, situated north of Weipa.",2024-07-18 13:08:00
Ghana's bauxite and lithium prospects: Government tables mining leases in parliament,"The Government of Ghana, through the Ministry of Lands and Natural Resources, has presented mining lease agreements for bauxite and lithium to Parliament for consideration.",2024-07-18 13:01:00
SMM Morning Comment For SHFE Base Metals On July 18,"Overnight, LME copper opened at $9,710.5/mt, initially hitting a high of $9,737.5/mt before declining throughout the session to a low of $9,609.5/mt at the end of trading. It then consolidated and finally closed at $9,616/mt, down 0.50%. Trading volume reached 20,000 lots, and open interest was 311,000 lots.",2024-07-18 07:19:00
SMM Aluminum Market Morning Comment (July 18),"The most-traded SHFE aluminum 2409 contract opened at 19,785 yuan/mt overnight, reaching a high of 19,810 yuan/mt and a low of 19,700 yuan/mt, and closed at 19,720 yuan/mt, down 70 yuan/mt, a decrease of 0.35%.",2024-07-18 07:09:00
SMM Morning Comment For SHFE Base Metals On July 17,"Overnight, LME copper opened at $9,748/mt, initially hitting a session high of $9,749.5/mt amid fluctuations.",2024-07-17 07:08:00
SMM Aluminum Market Morning Comment (July 17),"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,800 yuan/mt, reaching a high of 19,870 yuan/mt and a low of 19,730 yuan/mt, and closed at 19,810 yuan/mt, down 85 yuan/mt, a decrease of 0.43%.",2024-07-17 06:57:00
"Domestic aluminum ingot destocking encountered obstacles again in June, leaving limited room for inventory decline in July","In June, domestic aluminum ingot inventory encountered obstacles again, narrowly fluctuating around 750,000-800,000 mt over the past month.",2024-07-16 07:30:00
"Domestic spot alumina prices stabilized, with a tight balance supporting high spot prices","From June 11 to July 10, the average price of the SMM alumina index was 3,904 yuan/mt, an increase of 76 yuan/mt MoM; the monthly average price of FOB Western Australia alumina was $505/mt, an increase of $59/mt MoM.",2024-07-16 07:29:00
"In May, China’s bauxite imports from Guinea showed negative growth both YoY and MoM due to frequent disruptions in bauxite shipments from Guinea","According to the General Administration of Customs of China, in May 2024, China imported 13.549 million mt of bauxite, down 4.84% MoM, up 4.63% YoY.",2024-07-16 07:28:00
Price Forecast: Aluminum prices to move rangebound in July amid weak downstream demand and cautious macro sentiment,"Macro: From June 12 to July 10, the macro front was relatively neutral. The Fed's interest rate cut expectations were still wavering, having little impact on market sentiment.",2024-07-16 07:26:00
Market Review: Aluminum prices fell from highs in June due to sluggish market sentiment and weak demand,"During this period (June 12-July 10), the most-traded SHFE aluminium contract went down, with the lowest point at 19,950 yuan/mt and the highest point at 21,030 yuan/mt.",2024-07-16 07:25:00
"Due to declining operating rate of aluminum extrusion industry, the continuous destocking of aluminum billets came to an end","The nearly month-long continuous destocking has ended, and domestic aluminum billet inventory returned to a three-year high for the same period.",2024-07-16 07:14:00
"Aluminum: Inventory has approached 800,000 mt, and the spot market in Guangdong and Shanghai has changed","At the beginning of July, domestic aluminum ingot inventory was disappointing, currently at a three-year high for the same period.",2024-07-16 07:12:00
The secondary aluminum import policy is expected to be adjusted again. A brief analysis of its impact on the market,"On July 8, the Ministry of Ecology and Environment issued a letter seeking public comments on the ""Announcement on Regulating the Import Management of Secondary Copper and Copper Alloy Raw Materials, Secondary Aluminum Alloy and Aluminum Alloy Raw Materials (Revised Draft for Comments).""",2024-07-16 07:11:00
Aluminum prices likely to move rangebound due to poor demand,"Last week, macroeconomic front remained relatively stable. The US non-farm payrolls growth data was lower than expected, and inflationary pressures eased, strengthening market expectations for a US Fed rate cut.",2024-07-16 07:07:00
SMM Aluminum Market Morning Comment (July 16),"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,970 yuan/mt, reaching a high of 20,050 yuan/mt and a low of 19,955 yuan/mt, and closed at 19,955 yuan/mt, down 90 yuan/mt, a decrease of 0.45%.",2024-07-16 07:04:00
SMM Morning Comment For SHFE Base Metals On July 15,"Last Friday, LME copper opened at $9,802.5/mt, hit a session low of $9,786/mt at the beginning, then climbed all the way up, reaching a session high of $9,881.5/mt at the end of the trading session, and finally closed at $9,877/mt, up by 1.02%. Trading volume reached 20,000 lots, and open interest reached 327,000 lots. ",2024-07-15 07:28:00
SMM Aluminum Market Morning Comment (July 15),"On last Friday night, the most-traded SHFE aluminum 2408 contract opened at 20,055 yuan/mt, reaching a high of 20,095 yuan/mt and a low of 19,925 yuan/mt, and closed at 20,085 yuan/mt, up 15 yuan/mt, an increase of 0.07%.",2024-07-15 07:04:00
SMM Morning Comment For SHFE Base Metals On July 12,"Overnight, LME copper opened at $9,866.5/mt, initially rose to $9,896.5/mt, then fluctuated downward, hitting a low of $9,764/mt at the end of the trading session, and finally closed at $9,777.5/mt, down 0.82%. Trading volume reached 19,000 lots, and open interest reached 333,000 lots. ",2024-07-12 07:21:00
SMM Aluminum Market Morning Comment (July 12),"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,250 yuan/mt, with a high of 20,300 yuan/mt, a low of 20,130 yuan/mt, and closed at 20,160 yuan/mt, down 45 yuan/mt from the previous trading day, a decrease of 0.22%.",2024-07-12 07:11:00
SMM analysis on June overseas metallurgical-grade alumina output and July forecast,"In June (30 days), the production of overseas metallurgical-grade alumina was approximately 4.68 million mt, up 0.7% YoY.",2024-07-11 15:13:00
SMM analysis on June overseas aluminium output and July forecast,"According to SMM, the total overseas aluminium output in June (30 days) was 2.452 million mt, up 1% YoY.",2024-07-11 15:13:00
SMM Morning Comment For SHFE Base Metals On July 11,"Overnight, LME copper opened at $9,822.5/mt, dipped lower than $9,822.5/mt, then fluctuated upwards to a high of $9,933/mt, before falling back at the end of the trading session to close at $9,858/mt, down 0.17%.",2024-07-11 07:21:00
SMM Aluminum Market Morning Comment (July 11),"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,140 yuan/mt, reached a high of 20,265 yuan/mt, a low of 20,140 yuan/mt, and closed at 20,170 yuan/mt, up 70 yuan/mt from the previous trading day, an increase of 0.35%.",2024-07-11 07:00:00
SMM analysis on China June alumina output and July forecast,"According to SMM, China's metallurgical-grade alumina output in June (30 days) was 6.842 million mt, with an average daily output of 228,100 mt/day, a slight increase of 2,600 mt compared to May.",2024-07-10 15:12:00
SMM analysis on China June aluminium output and July forecast,"According to SMM, China's aluminium output in June (30 days) was 3.553 million mt, up 5.56% YoY.",2024-07-10 15:11:00
Exclusive: SMM China June Metals Production and July Forecast,"Aluminum plays a pivotal role in numerous industries, making its price fluctuations a subject of significant interest. Understanding the dynamics of the aluminum market is essential for businesses and investors alike. This article explores the key factors influencing aluminum prices, historical trends, and the impact of economic policies.",2024-07-10 13:39:00
How Aluminum Price Fluctuations Impact Various Industries,"vernight, LME copper opened at $9,927/mt, initially reaching a high of $9,952/mt before declining, hitting a low of $9,819/mt near the end of the trading session, and finally closed at $9,875/mt, down 0.22%.",2024-07-10 08:26:00
SMM Morning Comment For SHFE Base Metals On July 10,"SHANGHAI, July 10 (SMM) –Overnight, the most-traded SHFE aluminum 2408 contract opened at 20,415 yuan/mt, reaching a high of 20,440 yuan/mt and a low of 20,270 yuan/mt, and closed at 20,300 yuan/mt, down 160 yuan/mt from the previous trading day, a decrease of 0.78%.",2024-07-10 07:22:00
"SMM aluminum market morning comment Jul 10: US Inflation Pressure Eases, Downstream Consumption Remains Sluggish","Overnight, LME copper opened at $9,965/mt, initially reaching a high of $10,000/mt, then reaching a low of $9,909/mt, and finally closed at $9,917/mt.",2024-07-10 07:11:00
SMM Morning Comment For SHFE Base Metals On July 9,"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,370 yuan/mt, reaching a high of 20,460 yuan/mt and a low of 20,350 yuan/mt, and closed at 20,365 yuan/mt, up 20 yuan/mt from the previous trading day, an increase of 0.10%.",2024-07-09 07:28:00
SMM Aluminum Market Morning Comment (Jul 9),"Last Friday night, the most-traded SHFE aluminum 2408 contract opened at 20,400 yuan/mt, reached a high of 20,480 yuan/mt, a low of 20,365 yuan/mt, and closed at 20,415 yuan/mt, up 115 yuan/mt from the previous trading day, with a gain of 0.57%. ",2024-07-09 07:22:00
Key Takeaway From 2024 SMM LME Asia Week: Global Metals And New Energy Market Outlook And Supply Trends  ,"Last Friday night, LME copper opened at $9,940.5/mt, rose initially to a high of $10,000/mt, then fluctuated downward to a low of $9,929.5/mt, rebounded at the end of the trading session, and finally closed at $9,970/mt, with a gain of 0.85%. Trading volume reached 24,000 lots, and open interest reached 328,000 lots. ",2024-07-08 19:33:00
SMM Morning Comment For Aluminum Market July 8,"On the first day of July, due to the slightly better-than-expected destocking speed over the past half month, aluminum billet inventory were no longer at a four-year high for the same period.",2024-07-08 07:18:00
SMM Morning Comment For SHFE Base Metals On July 8,"In July, domestic aluminum ingots inventory still failed to drop. As of July 4, 2024, SMM statistics showed the total social inventory of aluminum ingots at 773,000 mt, (the amount for sale stood at 647,000 mt), up 10,000 mt WoW and 4,000 mt from July 1.",2024-07-08 07:17:00
"Aluminum extrusion industry operating rate continued to weaken, while aluminium billet conversion margins in south China rose","In H1 2024, alumina prices showed an upward trend. The prices were relatively stable in Q1, while in Q2, they surged significantly and then stabilized.",2024-07-05 15:22:00
"Domestic aluminum ingots inventory still failed to drop in July, and the Guangdong-Shanghai price spread first narrowed and then widened","This week, macroeconomic front was stable overall. Although the US ADP employment data led to increased market expectations for a US Fed rate cut, the Fed's stance on rate cuts remains unclear and has not impacted market sentiment.",2024-07-05 15:21:00
Analysis and outlook of domestic alumina price trends in H1 2024,"Indonesia unveiled Southeast Asia's first electric vehicle battery manufacturing facility on July 3, 2024, as a landmark for the region's automotive industry.",2024-07-05 15:17:00
Aluminum market prices to move rangebound amid weak fundamentals and unstable macro sentiment,"Overnight, LME copper opened at $9,874.5/mt, initially rose to a session high of $9,918/mt, then declined to a session low of $9,851/mt, and slightly rebounded by the end of the trading session, closing at $9,886/mt, with a gain of 0.35%. Trading volume reached 14,000 lots, and open interest reached 326,000 lots.",2024-07-05 15:15:00
Southeast Asia's first electric vehicle battery plant inaugurated in Indonesia,"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,405 yuan/mt, reaching a high of 20,520 yuan/mt and a low of 20,340 yuan/mt, and closed at 20,395 yuan/mt, down 25 yuan/mt or 0.12% from the previous close.",2024-07-05 14:30:00
SMM Morning Comment For SHFE Base Metals On July 5,"Since initiating their partnership last year, Emirates Global Aluminium (EGA) and RECAPP, Veolia's digital recycling solution, have completed over 14,000 collections from schools and homes.",2024-07-05 07:29:00
SMM Aluminum Market Morning Comment (July 5),"According to data from June 28, the weekly port arrivals of bauxite at domestic ports totaled 4.1828 million mt, an increase of 808,400 mt from the previous week.",2024-07-05 07:15:00
